date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
16-01-2015,209.070007,221.591003,199.770996,208.097,38421000,30.71372758,29.56324452,-60.74105471,-119.6235492,264.5919981,258.6762678,264.5919981,261.6589621,-12.73991466,264.5919981,21.820007,28.25027707,25.11473458,199.259995
17-01-2015,207.834,211.731003,194.875,199.259995,23469700,28.30904694,27.98404157,-58.56821726,-108.5825617,260.7489391,253.9541089,260.7489391,257.3721429,-13.99234557,260.7489391,16.856003,26.49479096,24.29118305,210.339005
18-01-2015,200.050003,218.695007,194.505997,210.339005,30085100,35.67527957,32.82856453,-31.52528126,-80.0200737,257.9483872,250.621916,257.9483872,254.291592,-14.08120204,257.9483872,24.18901,26.14348355,24.28127478,214.860992
19-01-2015,211.470993,216.727997,207.317993,214.860992,18658300,38.67574417,34.75770797,24.67420447,-60.31763142,255.6806296,247.9877325,255.6806296,251.8218442,-13.68813635,255.6806296,9.410004,23.61797855,22.87505158,211.315002
20-01-2015,212.906998,215.240997,205.153,211.315002,24051100,37.09283633,33.93467642,61.70470897,-56.66629863,253.4623482,245.3763347,253.4623482,249.388897,-13.45114688,253.4623482,10.087997,21.59230577,21.69324776,226.897003
21-01-2015,211.378006,227.787994,211.212006,226.897003,29924600,48.00292699,40.59173845,181.2083072,-27.92285435,252.1973318,244.1012486,252.1973318,248.0902588,-12.07593065,249.0947487,16.575988,20.84639314,21.23002549,233.406006
22-01-2015,227.322006,237.018997,226.434006,233.406006,33544600,52.05527832,43.16793164,162.2413133,2.71610451,251.3431806,243.3846147,251.3431806,247.2734068,-10.43073471,245.0134484,10.584991,19.32941026,20.2844739,232.878998
23-01-2015,233.516998,234.845001,225.195999,232.878998,24621700,51.67486382,43.00532389,95.1695362,11.4093801,250.54039,242.6997194,250.54039,246.5003727,-9.06695334,242.6032982,9.649002,17.90540486,19.35592569,247.847
24-01-2015,232.699997,248.210007,230.022003,247.847,24782500,61.09559268,48.89358075,121.1367385,60.64852082,250.4281655,243.0267909,250.4281655,246.5703203,-6.871711491,241.7858979,18.188004,17.94679999,19.25555202,253.718002
25-01-2015,247.352005,255.074005,243.889999,253.718002,33582700,64.28194912,51.03060889,125.8789975,104.6763885,250.5597589,243.690004,250.5597589,246.9300297,-4.675745526,240.748098,11.184006,16.95976162,18.57179004,273.472992
26-01-2015,254.078995,309.384003,254.078995,273.472992,106794000,72.97197756,57.47431048,166.253674,198.1183216,251.4410371,245.4963302,251.4410371,248.2262479,-1.524374533,240.1122979,55.666001,22.59156091,21.67294268,263.475006
27-01-2015,273.166992,275.480011,250.653,263.475006,44399000,63.80602443,53.62817872,72.94412982,121.4167196,251.8867397,246.5638486,251.8867397,248.949907,0.240122477,238.5691979,24.827011,22.91596359,21.93345793,233.914993
28-01-2015,263.351013,266.535004,227.046005,233.914993,44352200,44.51774282,44.20855621,-30.76332147,45.28650513,251.2448916,245.8276414,251.2448916,248.2555974,-0.500523423,236.0974975,39.488999,25.31557554,23.36747046,233.513
29-01-2015,233.348007,238.705994,220.712006,233.513,32213400,44.30524832,44.09512577,-86.01635661,-0.893027943,250.633447,245.1242425,250.633447,247.5922837,-1.101557121,233.252748,17.993988,24.25752712,22.93299702,226.425003
30-01-2015,232.772003,242.850998,225.839005,226.425003,26605200,40.34388985,42.04658908,-83.50776927,-4.390178665,249.8264989,244.0749482,249.8264989,246.6633061,-2.072777705,230.8341987,17.011993,23.21219785,22.45872442,217.464005
31-01-2015,226.440994,233.503998,216.309006,217.464005,23348200,35.64335583,39.54529087,-98.07153615,-51.79694314,248.7825475,242.6065089,248.7825475,245.4119629,-3.46269697,228.4243988,17.194992,22.34530894,22.04072396,226.972
01-02-2015,216.867004,231.574005,212.014999,226.972,29128500,43.75538875,43.39316472,-72.72134552,-54.78807007,248.1009679,241.757327,248.1009679,244.6395211,-3.808759358,226.3831993,19.559006,21.94437649,21.845208,238.229004
